id,doc,line,mark,ruled_in,reason,zones,fields,values_governed,verdict,reaches,direction,confidence,reader_note,reader_zones,alarming
00000,or/clackamas/_unincorporated/zdo.1012.txt,186,1,or/clackamas/_unincorporated,"Table 1012-1 is Bonus Density -- an election an applicant makes to exceed base density, priced in affordability covenants, mixed use, park dedication or habitat protection. This layer's max_density_du_per_acre is base density, and a bonus can only add to it, so a pod that fits without one still fits. Note 1 withholds the affordable housing and park dedication bonuses in the VA, VR-4/5, VR-5/7 and VTH Districts, which is a bonus not offered rather than a base density reduced","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['max_density_du_per_acre'],9,narrower,some_zones,stricter,inferred,"It withdraws the affordable-housing (option 2) and park-dedication density bonuses in VR-4/5 and VR-5/7, two of the governed zones, so the density ceiling there is lower than the bonus table on its face allows.","VR45,VR57",True
00001,or/clackamas/_unincorporated/zdo.1012.txt,187,2,or/clackamas/_unincorporated,"Table 1012-1 is Bonus Density -- an election an applicant makes to exceed base density, priced in affordability covenants, mixed use, park dedication or habitat protection. This layer's max_density_du_per_acre is base density, and a bonus can only add to it, so a pod that fits without one still fits. Note 2 defines mixed-use development for the bonus as a mix of uses in one building or on one site. It defines a term inside an election nobody has made","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['max_density_du_per_acre'],9,agree,not_ours,,clear,Defines the mixed-use bonus term; our all-residential fourplex is not a mixed-use development.,,False
00002,or/clackamas/_unincorporated/zdo.1012.txt,188,3,or/clackamas/_unincorporated,"Table 1012-1 is Bonus Density -- an election an applicant makes to exceed base density, priced in affordability covenants, mixed use, park dedication or habitat protection. This layer's max_density_du_per_acre is base density, and a bonus can only add to it, so a pod that fits without one still fits. Note 3 confines the mixed-use bonus to the C-3, CC, OC and RTL Districts, none of which this layer encodes a density for","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['max_density_du_per_acre'],9,agree,not_ours,,clear,Confines the mixed-use density bonus to commercial districts we are not in.,,False
00003,or/clackamas/_unincorporated/zdo.1012.txt,189,4,or/clackamas/_unincorporated,"Table 1012-1 is Bonus Density -- an election an applicant makes to exceed base density, priced in affordability covenants, mixed use, park dedication or habitat protection. This layer's max_density_du_per_acre is base density, and a bonus can only add to it, so a pod that fits without one still fits. Note 4 withholds the habitat conservation area bonus in the VR-4/5, VR-5/7 and VTH Districts. A bonus not offered","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['max_density_du_per_acre'],9,narrower,some_zones,stricter,inferred,"Denies the Habitat Conservation Area density bonus in VR-4/5 and VR-5/7, so those two governed zones cap lower than the table's 25 percent row implies.","VR45,VR57",True
00004,or/clackamas/_unincorporated/zdo.1012.txt,190,5,or/clackamas/_unincorporated,"Table 1012-1 is Bonus Density -- an election an applicant makes to exceed base density, priced in affordability covenants, mixed use, park dedication or habitat protection. This layer's max_density_du_per_acre is base density, and a bonus can only add to it, so a pod that fits without one still fits. Note 5 caps the total: a development using the affordable housing bonus under option 1 may not stack the mixed-use, park dedication or habitat bonuses on top of it. A ceiling on an election, above a base this layer already holds","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['max_density_du_per_acre'],9,disagree,reaches,stricter,inferred,"Caps the maximum total density increase for any development using the option-1 affordable-housing bonus by barring bonus stacking, which a fourplex pursuing that bonus would run into.",,True
00005,or/clackamas/_unincorporated/zdo.1015.txt,358,2,or/clackamas/_unincorporated,"the one note here that states a requirement this building could actually meet, and it is about roofing the stalls rather than counting them: above 3,500 feet in elevation, a structure of three or more dwelling units must provide COVERED parking. It cannot move `parking_min_per_unit`, which is a count. No field in this screen holds whether a stall has a roof, and no layer holds a lot's elevation, so it is carried as a refusal in this layer's notes rather than registered as a site fact nobody would buy data for. Unincorporated Clackamas runs from the Willamette to Mount Hood, so unlike most of this corpus the condition is genuinely reachable",['(defaults)'],['parking_min_per_unit'],1,disagree,reaches,stricter,clear,"Our four-unit structure is three or more dwelling units, so on any lot above 3,500 feet the required parking must be covered - a structure the open rear court does not provide and a condition the per-unit stall count never records.",,True
00006,or/clackamas/_unincorporated/zdo.1015.txt,360,3,or/clackamas/_unincorporated,"relief for a conversion: ""no additional parking spaces shall be required for conversion of a detached single-family dwelling to middle housing."" The pod is new construction on a lot, not a house being cut into four, so the relief is not available and the one space per dwelling unit stands. This is the note the marker on the cell points at, and until the extractor learned to hold a superscript apart from the value under it, the cell read ""13"" and this note was invisible",['(defaults)'],['parking_min_per_unit'],1,agree,not_ours,,clear,"We build new construction, not a conversion of an existing house.",,False
00007,or/clackamas/_unincorporated/zdo.1015.txt,362,4,or/clackamas/_unincorporated,"a townhouse standard twice over -- it withholds the 1015.02(D)(3)(b) parking exception from townhouses and caps townhouse parking in Urban Zone A at two spaces each. A quadplex is a different row of the same table. It is also the note the maximum-parking chain ends in: 1015.02(C) sends maximums to Table 1015-1 and ""Note 4 of Table 1015-2"", and this is that note. So the county caps a townhouse and caps no quadplex",['(defaults)'],['parking_min_per_unit'],1,disagree,reaches,stricter,clear,"It strips a parking exception from townhouses - an attached four-unit row reads as reaching us - and adds a two-space-per-unit parking maximum in Urban Zone A, neither of which the plain per-unit minimum carries.",,True
00008,or/clackamas/_unincorporated/zdo.1015.txt,364,5,or/clackamas/_unincorporated,"""In the R-2.5 District, the required parking shall be located behind the front setback line."" A real placement standard, and it names one district this layer does not hold: the nine zones here are R-5, R-7, R-8.5, R-10, R-15, R-20, R-30, VR-4/5 and VR-5/7. R-2.5 is the one district in Table 315-2 that was never encoded",['(defaults)'],['parking_min_per_unit'],1,narrower,some_zones,stricter,inferred,"In R-2.5 only, required parking is forced behind the front setback line - a placement rule our rear court would satisfy but that the parking-count standard does not hold.",R2.5,True
00009,or/clackamas/_unincorporated/zdo.315.txt,1040,1,or/clackamas/_unincorporated,"one of the five sets of criteria on Table 315-1's LIMITED USE column. The Quadplexes row reads ""P7,8"" in every district this layer holds -- a primary use, not a limited one -- so none of them reaches this building. They are governed here because the permission is quoted from lines this block's region covers, which is the region rule being conservative rather than a claim that the note is about a quadplex","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,agree,not_ours,,clear,"Criteria for non-residential limited uses inside a development, not for the dwelling itself.",,False
