layer,quote,verdict,bites,contradicted,over,permitting,reason
or/clackamas/_unincorporated,or/clackamas/_unincorporated/zdo.315.txt#L1086,unverifiable,False,,"R10,R15,R20,R30,R5,R7,R8.5,VR45,VR57","R10,R15,R20,R30,R5,R7,R8.5,VR45,VR57","note 12 sets a townhouse minimum lot size of 3,630 square feet in MR-1 and 2,420 in MR-2. A different housing type in two districts this layer does not hold"
or/clackamas/_unincorporated,or/clackamas/_unincorporated/zdo.315.txt#L1094,unverifiable,False,,"R10,R15,R20,R30,R5,R7,R8.5,VR45,VR57","R10,R15,R20,R30,R5,R7,R8.5,VR45,VR57","note 16 caps hotels in the SHD District at 80 units per gross acre. Another use, and a district this layer does not hold"
or/clackamas/_unincorporated,or/clackamas/_unincorporated/zdo.1015.txt#L364,unverifiable,False,,(defaults),(defaults),"""In the R-2.5 District, the required parking shall be located behind the front setback line."" A real placement standard, and it names one district this layer does not hold: the nine zones here are R-5, R-7, R-8.5, R-10, R-15, R-20, R-30, VR-4/5 and VR-5/7. R-2.5 is the one district in Table 315-2 that was never encoded"
or/clackamas/happy-valley,or/clackamas/happy-valley/16.22.residential.txt#L117,unverifiable,False,,,,"""Density calculations shall be made pursuant to Section 16.63.020(F)."" Scoped to Table 16.22.010-2, the Future Urbanization district's standards. FU-10 is not a zone this layer encodes -- it is land waiting to be annexed, not land a pod is placed on."
or/clackamas/happy-valley,or/clackamas/happy-valley/16.22.residential.txt#L928,unverifiable,False,,"MURA,SFA,VTH","MURA,SFA,VTH","""Single-family detached units with a maximum floor area of 2,000 square feet are permitted in the MUR-A zone within the Happy Valley Town Center Plan Area."" Permits a detached single-family house in a district this layer does not encode. Two reasons out, and either alone would do."
or/clackamas/happy-valley,or/clackamas/happy-valley/16.22.residential.txt#L922,contradicted,True,"SFA,VTH","MURA,SFA,VTH","MURA,SFA,VTH","""Residential care homes/facilities, duplexes, triplexes, quadplexes, cottage clusters, and accessory dwellings are exempt from the density standards. Townhouses have a maximum density of 25 units/acre."" Scoped to Table 16.22.050-1, whose SFA, MUR-A and VTH districts this layer does not encode. It is the note that will matter most when they are."
or/clackamas/happy-valley,or/clackamas/happy-valley/16.22.residential.txt#L1013,unverifiable,False,,"MURA,SFA,VTH","MURA,SFA,VTH","Density per Section 16.63.020(F), and a four-units-per-gross-acre minimum for cottage clusters. Scoped to Table 16.22.050-2, districts this layer does not encode."
or/clackamas/happy-valley,or/clackamas/happy-valley/16.22.residential.txt#L1015,unverifiable,False,,"MURA,SFA,VTH","MURA,SFA,VTH","The Table 16.22.050-2 wording of the density exemption -- ""Townhouses may have a maximum density of 25 units/acre"", where the use table says ""have"". Scoped to districts this layer does not encode."
or/clackamas/happy-valley,or/clackamas/happy-valley/16.22.residential.txt#L1017,contradicted,True,SFA,"MURA,SFA,VTH","MURA,SFA,VTH","Twenty-foot setbacks for public and institutional uses in SFA, and a ten-foot perimeter setback for cottage clusters in MUR-A. Scoped to districts this layer does not encode, and to two building types the pod is not."
or/clackamas/happy-valley,or/clackamas/happy-valley/16.22.residential.txt#L1019,contradicted,True,SFA,"MURA,SFA,VTH","MURA,SFA,VTH","""Where the SFA district abuts lower density residential districts, the abutting yards shall have a 10-foot landscaped buffer area."" Scoped to SFA, which this layer does not encode. Worth flagging for the day it does: it turns on the neighbour's zoning, which is a registered site fact nothing measures yet."
