id,layer,path,section,lines,fields,verdict,binds,reader_lines,reader_number,reader_standard,reader_about,reader_note
00000,or/multnomah/gresham,or/multnomah/gresham/4.1200.civic-neighborhood.txt,4.1252,"L1718,L2082,L2176,L2212,L2289,L2310,L2372,L2421,L2539,L2782,L2783,L2787,L2788,L2798,L2820,L2828,L2850,L2941,L2943,L3152,L3153,L3322,L3457,L3463,L3546,L3732,L3911,L3995,L4118,L4159,L4171,L4201,L4205,L4353","max_height_ft,min_frontage_ft,open_space_min_pct",seen_elsewhere,yes,L2289,15,minimum open space for townhouse-style development,"design standards for Gresham's Civic Neighborhood Plan District covering solid waste screening, streetscape glazing, tree/landscaping, fencing, lighting, entries, parapets, and signage for multiple building types, including standards explicitly labeled ""Townhouse Style"" and ""Multi-Family and Townhouse""","""S10. Open Space for Townhouse Style. A minimum of 15 percent of the gross lot area of the development shall be included as outdoor open space"" (L2289) applies directly to a four-unit attached townhouse building; L2310 caps hardscape at 50 percent of that space and L2820's Multi-Family/Townhouse fencing standard (max 4 ft in a required front setback) also applies. This is a mapped Plan District overlay, but a lot inside it must still meet these standards."
00001,or/multnomah/gresham,or/multnomah/gresham/7.0500.rockwood-design.txt,7.0512,"L1109,L1459,L1548,L1584,L1661,L1682,L1759,L1803,L2096,L2097,L2101,L2102,L2112,L2126,L2133,L2168,L2264,L2591,L2780,L2786,L2907,L3001,L3006,L3083,L3256,L3260,L3263,L3277,L3279,L3284,L3503","max_height_ft,open_space_min_pct",seen_elsewhere,yes,L1661,15,minimum open space for townhouse-style development,"design standards for Gresham's Rockwood Design District, structured almost identically to the Civic Neighborhood Plan District, covering screening, glazing, landscaping, fencing, lighting, entries, and signage, including standards explicitly for ""Townhouse Style"" and ""Multi-Family and Townhouse"" development","""S10. Open Space for Townhouse Style. A minimum of 15 percent of the gross lot area of the development shall be included as outdoor open space"" (L1661) applies directly to our four-unit attached townhouse; L1682 caps hardscape at 50 percent and L2126's Multi-Family/Townhouse fencing standard (max 4 ft in front yard setback) also applies. This is a mapped design district, but a lot inside it must still comply."
00002,or/multnomah/gresham,or/multnomah/gresham/4.1100.downtown.txt,4.1152,"L1557,L1561,L1929,L1957,L2314,L2336,L2424,L2445,L2496,L2548,L2665,L2828,L2836,L2868,L2959,L3091,L3149,L3261,L3436,L3442,L3532,L3620,L3625,L3664,L3873,L4212,L4297","max_height_ft,min_frontage_ft,open_space_min_pct,setback_front_ft",seen_elsewhere,yes,L2424,15,minimum open space for townhouse-style development,"design standards for Gresham's Downtown Plan Design District covering front-setback consistency, screening, glazing, landscaping, fencing, entries, parapets, and signage, including a ""Townhouse Style"" open-space standard and ""Multi-Family and Townhouse"" fencing","""S8. Open Space for Townhouse Style. A minimum of 15 percent of the gross lot area of the development shall be included as outdoor open space"" (L2424) applies directly to a four-unit townhouse building; L2445 caps hardscape at 50 percent, and L1557's front-setback-consistency rule (a multi-family setback must be within 5 ft of an abutting single-detached dwelling's setback, capped at 15 ft) could also bind depending on the abutting lot."
00003,or/clackamas/milwaukie,or/clackamas/milwaukie/19.300.base-zones.txt,19.304.5,"L1882,L1894,L1896,L1902,L1908,L1914,L2026,L2030","max_height_ft,max_units",seen_elsewhere,yes,L2026,25,minimum residential density for townhouses,"detailed development standards for Milwaukie's Downtown Mixed Use (DMU) zone: minimum building height along street frontage, optional height bonuses, and minimum residential density for townhouses and stand-alone multifamily","""Minimum densities for townhouses and live/work units are 25 units per acre"" (L2026) effectively caps the buildable lot size for a fixed four-unit townhouse building at roughly 0.16 acres in this zone. L1882's ""minimum building height of 25 ft ... along all street frontages"" also applies to any building here, though our ~26 ft design already clears it; L1894/L1902/L1908/L1914 are elective height bonuses, not requirements."
00004,or/multnomah/gresham,or/multnomah/gresham/7.0400.middle-housing-design.txt,7,"L687,L695,L718,L728,L764,L1078,L1097","max_height_ft,min_frontage_ft,setback_garage_entrance_ft",agree,no,,,,"design standards (perimeter fencing, walkways, driveway width, tree planting, building height, common green, fenced dog area) specific to Cottage Cluster housing developments in Gresham","The section heading ""7.0440 COTTAGE CLUSTER DESIGN STANDARDS"" scopes every marked line to Cottage Cluster developments; our building is explicitly not a cottage cluster."
00005,or/clackamas/milwaukie,or/clackamas/milwaukie/19.500.supplementary.txt,19.502.2,"L259,L273,L309,L327,L333,L345",max_height_ft,agree,no,,,,"height and footprint standards for detached accessory structures (garages, sheds), plus fence height limits by zone and a stand-alone flagpole height limit, in Milwaukie","The section is ""§ 19.502.2. Specific Provisions for Accessory Structures,"" and the marked lines govern accessory-structure roof pitch (L259/L273), fences (L309/L327/L333), and flagpoles (L345) — accessory structures and fences are both explicitly excluded categories, not the primary dwelling."
00006,or/clackamas/milwaukie,or/clackamas/milwaukie/19.500.supplementary.txt,19.508.4,"L3099,L3757,L3761,L3851,L3855,L4093",max_height_ft,unclear,unclear,,,,"downtown design elements for Milwaukie: ground-floor height, corner/facade articulation features (tower/turret, corner offset, vertical offset, dormer), and an elevator/mechanical-equipment height-exceedance allowance","L3099's ground-floor-height standard doesn't state whether it excludes residential use, and this same document's parallel design-standard sections elsewhere in the corpus scope ground-floor-height rules to commercial/institutional space specifically — the excerpt shown doesn't say which applies here. The corner-articulation lines (L3757/L3761/L3851/L3855) read as items in an options menu whose required count isn't shown in this excerpt. The page genuinely doesn't let us tell whether any of this binds a residential-only building."
00007,or/clackamas/wilsonville,or/clackamas/wilsonville/4.planning.txt,4.137.2,"L11089,L11090,L11092,L11095,L11096,L11097","setback_front_ft,setback_rear_ft,setback_side_ft",agree,no,,,,"permitted reductions to yard setbacks within specific Planned Development Residential zones (PDR-7-S, PDR-4-S, PDR-1-S) in Wilsonville, alongside an unrelated solar-access shade-height table","""A front yard setback may be reduced to not less than ..."" (L11089 and similar) states a floor on an optional, discretionary setback reduction within specific PDR zones — an allowance a developer may choose to use, not a standard the building must meet."
00008,or/multnomah/gresham,or/multnomah/gresham/7.0400.middle-housing-design.txt,7.0410,"L63,L64,L66,L69,L70,L77","max_height_ft,open_space_min_pct",agree,no,,,,"design standards (perimeter screening/fence height, interior open space) specific to Manufactured Dwelling Park developments in Gresham","The section heading ""7.0410 MANUFACTURED DWELLING PARK DESIGN STANDARDS"" scopes every marked line to manufactured dwelling parks, a building type explicitly excluded from our brief."
00009,or/multnomah/portland,or/multnomah/portland/11.50.txt,11.50.050,"L170,L171,L172,L173,L174,L175",max_coverage_pct,worth_reading,yes,L170,40,minimum on-site tree area for one-to-four-family residential development,"Portland's on-site tree density/tree-area standard, giving a required percentage of site area (or an area-minus-building-coverage alternative) that must be planted with trees, broken out by development type","The table's ""One to Four Family Residential"" row (L170) requires ""40 percent of site or development impact area"" under Option A, or ""Site area minus building coverage of existing and proposed development"" under Option B — our four-unit attached building falls squarely in this development-type row."
